4,962,677
4,970,553
4,950,800
4,912,457
4,933,072
4,850,643
4,849,247
4,802,013
4,769,076
4,758,614
4,709,501
4,707,188
4,642,572
4,637,060
4,615,647
4,610,116
4,548,025
4,534,599
4,482,811
4,461,282
4,427,701
4,395,607
4,372,473
4,376,683
4,329,413
4,287,409
4,256,800
4,218,292
4,180,166
4,164,007
4,126,797
4,110,776
4,079,835
4,062,707
4,018,735
3,991,209
3,944,627
3,938,698
3,901,389
3,886,337
3,836,373
3,796,686
3,807,898
3,747,653
3,711,189
3,718,354
3,670,937
3,645,721
3,407,481
3,300,387
3,288,338
3,246,423
3,205,143
3,189,782
3,179,991
3,159,617
3,131,771
3,086,750
3,046,799
3,022,957
3,003,033
2,989,366
2,967,360
2,928,934
2,886,270
2,882,128
2,850,965
2,813,748
2,791,262
2,755,028
2,718,722
2,694,208
2,680,307
2,658,511
2,530,851
2,467,591
2,423,241
2,415,222
2,374,510
2,347,084
2,316,574
2,283,029
2,263,184
2,233,620
2,206,842
2,177,352
2,149,627
2,066,701
2,028,532
2,006,291
1,970,516
1,947,157
1,921,075
1,893,176
1,830,469
1,802,892
1,779,133
1,729,518
1,691,198
1,531,078
372,640
