4,944,730
5,005,914
4,939,906
4,894,192
4,876,515
4,887,933
4,874,841
4,814,143
4,731,446
4,741,174
4,718,336
4,696,278
4,646,897
4,630,324
4,610,668
4,576,834
4,566,714
4,504,195
4,486,837
4,481,741
4,420,221
4,405,426
4,349,730
4,330,807
4,283,253
4,277,955
4,246,718
4,197,604
4,177,057
4,156,265
4,120,704
4,083,221
4,062,039
4,026,623
3,990,124
3,996,568
3,952,480
3,922,056
3,893,863
3,832,794
3,831,468
3,791,588
3,794,221
3,733,960
3,727,005
3,677,740
3,660,322
3,663,669
3,417,254
3,312,519
3,260,572
3,247,727
3,211,416
3,192,448
3,160,527
3,131,591
3,085,061
3,070,623
3,047,470
3,034,495
3,001,825
2,970,343
2,952,396
2,924,911
2,873,845
2,863,690
2,833,382
2,800,876
2,775,919
2,745,000
2,705,043
2,685,278
2,664,876
2,625,544
2,497,184
2,452,084
2,415,148
2,389,095
2,357,970
2,333,508
2,306,239
2,278,192
2,243,673
2,231,794
2,197,384
2,165,408
2,143,348
2,057,323
2,020,129
1,991,847
1,964,751
1,937,402
1,907,689
1,875,504
1,803,207
1,762,602
1,701,231
1,602,880
1,451,444
1,127,397
372,506
