0	142,514
1	210,700
2	507,459
3	403,325
4	546,051
5	740,048
6	719,920
7	965,289
8	1,189,816
9	1,120,998
10	1,314,726
11	1,333,045
12	1,583,801
13	1,604,195
14	2,003,324
15	2,002,417
16	1,928,358
17	2,053,847
18	2,283,952
19	2,373,693
20	2,551,631
21	3,625,287
22	2,846,784
23	3,027,446
24	2,968,609
25	3,249,545
26	3,052,885
27	3,562,687
28	3,595,461
29	4,630,604
30	3,561,468
31	3,667,692
32	3,851,361
33	3,790,439
34	4,015,924
35	4,227,244
36	4,445,253
37	4,472,328
38	4,712,151
39	4,501,068
40	4,547,929
41	5,003,399
42	5,245,830
43	4,625,041
44	4,861,800
45	4,583,201
46	5,328,836
47	4,579,479
48	4,606,566
49	4,502,702
50	4,345,879
51	4,473,825
52	4,684,523
53	4,180,462
54	4,100,926
55	3,966,324
56	4,153,534
57	3,856,411
58	3,703,054
59	3,676,703
60	3,452,599
61	3,268,713
62	3,180,108
63	3,221,057
64	3,246,539
65	2,875,196
66	2,681,669
67	2,556,200
68	2,497,834
69	2,551,401
70	2,267,738
71	2,059,649
72	2,032,174
73	1,879,751
74	1,712,391
75	1,651,630
76	1,481,804
77	1,458,885
78	1,250,560
79	1,269,955
80	1,251,662
81	1,003,724
82	1,246,391
83	845,145
84	767,957
85	699,632
86	623,156
87	587,053
88	756,911
89	444,047
90	566,419
91	447,577
92	270,906
93	250,589
94	157,796
95	417,419
96	144,903
97	77,131
98	53,309
99	453,790
100	37,085
