0	4,428,542
1	4,405,801
2	4,384,039
3	4,361,673
4	4,313,381
5	4,276,722
6	4,267,359
7	4,232,159
8	4,199,340
9	4,177,666
10	4,164,643
11	4,152,110
12	4,101,770
13	4,096,398
14	4,061,276
15	4,038,580
16	4,019,210
17	3,970,494
18	3,957,939
19	3,923,679
20	3,885,221
21	3,894,145
22	3,835,041
23	3,837,625
24	3,781,846
25	3,755,140
26	3,733,628
27	3,704,346
28	3,686,412
29	3,666,730
30	3,623,901
31	3,594,336
32	3,570,425
33	3,524,561
34	3,514,389
35	3,480,290
36	3,470,937
37	3,447,260
38	3,402,451
39	3,381,427
40	3,354,649
41	3,341,081
42	3,309,093
43	3,283,880
44	3,256,030
45	3,197,656
46	3,202,715
47	3,150,537
48	3,003,001
49	2,971,432
50	2,957,162
51	2,919,266
52	2,902,725
53	2,879,755
54	2,845,421
55	2,810,235
56	2,798,339
57	2,770,782
58	2,731,248
59	2,714,090
60	2,689,749
61	2,668,005
62	2,629,794
63	2,612,319
64	2,592,410
65	2,549,765
66	2,529,191
67	2,506,316
68	2,482,755
69	2,450,735
70	2,418,979
71	2,390,127
72	2,369,980
73	2,337,195
74	2,251,276
75	2,219,437
76	2,197,515
77	2,166,162
78	2,142,461
79	2,116,976
80	2,092,618
81	2,068,506
82	2,045,408
83	2,012,297
84	1,987,280
85	1,964,568
86	1,945,430
87	1,878,482
88	1,852,164
89	1,825,022
90	1,799,177
91	1,770,101
92	1,742,427
93	1,712,897
94	1,665,287
95	1,628,818
96	1,572,837
97	1,458,682
98	1,228,225
99	753,055
100	247,221
