0	11,948,648
1	11,862,975
2	11,804,182
3	11,685,401
4	11,616,625
5	11,539,834
6	11,486,779
7	11,369,421
8	11,302,904
9	11,259,915
10	11,149,996
11	11,081,046
12	11,027,049
13	10,933,377
14	10,860,276
15	10,788,684
16	10,696,928
17	10,643,742
18	10,539,772
19	10,463,986
20	10,411,035
21	10,324,364
22	10,245,105
23	10,146,115
24	10,090,696
25	10,009,186
26	9,924,719
27	9,852,805
28	9,783,797
29	9,701,159
30	9,605,826
31	9,551,782
32	9,474,620
33	9,396,227
34	9,321,023
35	9,235,075
36	9,151,028
37	9,090,402
38	9,008,725
39	8,920,941
40	8,850,236
41	8,775,652
42	8,689,787
43	8,610,343
44	8,539,154
45	8,452,401
46	8,377,342
47	8,315,827
48	8,101,896
49	8,013,768
50	7,958,303
51	7,875,270
52	7,805,670
53	7,713,293
54	7,652,227
55	7,572,424
56	7,493,881
57	7,411,640
58	7,338,323
59	7,276,582
60	7,184,641
61	7,107,412
62	7,039,922
63	6,955,804
64	6,881,974
65	6,809,345
66	6,728,076
67	6,644,883
68	6,577,254
69	6,498,137
70	6,425,573
71	6,340,215
72	6,262,227
73	6,194,896
74	6,041,214
75	5,960,009
76	5,888,827
77	5,809,802
78	5,729,916
79	5,651,992
80	5,567,643
81	5,485,352
82	5,402,600
83	5,312,837
84	5,220,609
85	5,095,372
86	4,993,400
87	4,863,920
88	4,650,959
89	4,503,231
90	4,300,145
91	3,939,844
92	3,628,682
93	3,413,382
94	2,886,042
95	2,548,713
96	2,133,370
97	1,687,268
98	1,094,584
99	324,044
100	247,647
